Melanchra,adjuncta,Hitched arches,Ageratina,
Melanchra,adjuncta,Hitched arches,Asclepias,
Melanchra,adjuncta,Hitched arches,Phlox,
Melanchra,adjuncta,Hitched arches,Silene,
Herpetogramma,aeglalis,Serpentine webworm,Packera,
Herpetogramma,aeglalis,Serpentine webworm,Podophyllum,
Synchlora,aerata,Wavy-lined emerald,Comptonia,
Synchlora,aerata,Wavy-lined emerald,Liatris,
Synchlora,aerata,Wavy-lined emerald,Rudbeckia,
Synchlora,aerata,Wavy-lined emerald,Solidago,
Synchlora,aerata,Wavy-lined emerald,Vernonia,
Cucullia,alfarata,Camphorweed cucullia,Chrysopsis,
Cucullia,alfarata,Camphorweed cucullia,Pluchea,
Archips,argyrospila,Fruit-tree leafroller moth,Cercis,
Archips,argyrospila,Fruit-tree leafroller moth,Cicuta,
Papaipema,baptisiae,Wild indigo borer,Apocynum,
Papaipema,baptisiae,Wild indigo borer,Arnoglossum,
Erynnis,baptisiae,Wild indigo duskywing,Crotalaria,
Papaipema,baptisiae,Wild indigo borer,Podophyllum,
Isochaetes,beutenmuelleri,Spun glass slug,Platanus,
Isochaetes,beutenmuelleri,Spun glass slug,Quercus,
Hadena,capsularis,Capsule moth,Cerastium,
Hadena,capsularis,Capsule moth,Silene,
Lophocampa,caryae,Hickory tussock moth,Platanus,
Lophocampa,caryae,Hickory tussock moth,Rhus,
Hyalophora,cecropia,Cecropia silkmoth,Asclepias,
Hyalophora,cecropia,Cecropia silkmoth,Cornus,
Hyalophora,cecropia,Cecropia silkmoth,Tsuga,
Chlorochlamys,chloroleucaria,Blackberry looper moth,Apocynum,
Chlorochlamys,chloroleucaria,Blackberry looper moth,Chrysopsis,
Chlorochlamys,chloroleucaria,Blackberry looper moth,Cicuta,
Chlorochlamys,chloroleucaria,Blackberry looper moth,Helenium,
Haploa,clymene,Clymene moth,Ageratina,
Haploa,clymene,Clymene moth,Quercus,
Schizura,concinna,Red-humped caterpillar,Cercis,
Schizura,concinna,Red-humped caterpillar,Cornus,
Digrammia,continuata,Curve-lined angle,Chamaecyparis,
Digrammia,continuata,Curve-lined angle,Juniperus,
Digrammia,continuata,Curve-lined angle,Mikania,
Henricus,contrastanus,Contrasting henricus,Juniperus,
Cucullia,convexipennis,Brown-hooded owlet,Solidago,
Hyphantria,cunea,Fall webworm,Asimina,
Samia,cynthia,Ailanthus silkmoth,Ageratina,
Orgyia,definita,Definite tussock moth,Cornus,
Euclea,delphinii,Spiny oak-slug moth,Platanus,
Euphyes,dion,Dion skipper,Scirpus,
Leuconycta,diphtheroides,Green leuconycta,Solidago,
Cenopsis,directana,Chokecherry leafroller moth,Cercis,
Achatia,distincta,Distinct quaker,Cercis,
Hadena,ectypa,Campion coronet,Silene,
Euchaetes,egle,Milkweed tussock moth,Asclepias,
Homoeosoma,electellum,Sunflower moth,Heliopsis,
Homoeosoma,electellum,Sunflower moth,Liatris,
Thyridopteryx,ephemeraeformis,Evergreen bagworm moth,Cercis,
Thyridopteryx,ephemeraeformis,Evergreen bagworm moth,Chamaecyparis,
Digrammia,eremiata,Three-lined angle,Tephrosia,
Pyrrhia,exprimens,Purple-lined sallow,Apocynum,
Pyrrhia,exprimens,Purple-lined sallow,Phlox,
Exyra,fax,Pitcherplant Loopr,Sarracenia,
Platynota,flavedana,Black-shaded platynota,Asclepias,
Platynota,flavedana,Black-shaded platynota,Cicuta,
Polygrammodes,flavidalis,Ironweed root moth,Vernonia,
Spodoptera,frugiperda,Fall armyworm moth,Asclepias,
Cisseps,fulvicollis,Yellow-collared scape moth,Eleocharis,
Choristoneura,fumiferana,Spruce budworm moth,Juniperus,
Desmia,funeralis,Grape leaffolder moth,Cercis,
Acronicta,funeralis,Funerary dagger moth,Cornus,
Anticarsia,gemmatalis,Velvetbean caterpillar moth,Aeschynomene,
Sphinx,gordius,Apple sphinx,Comptonia,
Haematopis,grataria,Chickweed geometer,Cerastium,
Archips,grisea,Gray archips moth,Rudbeckia,
Callophrys,gryneus,Olive hairstreak,Chamaecyparis,
Callophrys,gryneus,Olive hairstreak,Juniperus,
Endothenia,hebesana,Verbena bud moth,Sarracenia,
Callophrys,hesseli,Hessel's hairstreak,Chamaecyparis,
Epimecis,hortaria,Tulip-tree beauty,Asimina,
Dolba,hyloeus,Pawpaw sphinx,Asimina,
Elophila,icciusalis,Pondside pyralid moth,Orontium,
Papaipema,impecuniosa,Aster borer,Helenium,
Eacles,imperialis,Imperial moth,Chamaecyparis,
Eacles,imperialis,Imperial moth,Cornus,
Eacles,imperialis,Imperial moth,Juniperus,
Eacles,imperialis,Imperial moth,Rhus,
Eacles,imperialis,Imperial moth,Tsuga,
Parasa,indetermina,Stinging rose caterpillar moth,Asimina,
Cycnia,inopinatus,Unexpected cycnia,Asclepias,
Automeris,io,Io moth,Cercis,
Automeris,io,Io moth,Comptonia,
Automeris,io,Io moth,Cornus,
Automeris,io,Io moth,Justicia,
Dichorda,iridaria,Showy emerald,Rhus,
Callophrys,irus,The hoary elfin,Crotalaria,
Pyrrharctia,isabella,Isabella tiger moth,Asclepias,
Spilosoma,latipennis,Pink-legged tiger moth,Arisaema,
Trichordestra,legitima,Striped garden caterpillar moth,Apocynum,
Trichordestra,legitima,Striped garden caterpillar moth,Asclepias,
Lithophane,lemmeri,Lemmer's pinion,Chamaecyparis,
Lithophane,lemmeri,Lemmer's pinion,Juniperus,
Orgyia,leucostigma,Whitemarked tussock moth,Asimina,
Orgyia,leucostigma,Whitemarked tussock moth,Cercis,
Orgyia,leucostigma,Whitemarked tussock moth,Chamaecyparis,
Orgyia,leucostigma,Whitemarked tussock moth,Cornus,
Orgyia,leucostigma,Whitemarked tussock moth,Juniperus,
Orgyia,leucostigma,Whitemarked tussock moth,Tsuga,
Pyrisitia,lisa,Little yellow,Amphicarpaea,
Fagitana,littera,Marsh fern moth,Woodwardia,
Nemoria,lixaria,Red-bordered emerald,Comptonia,
Actias,luna,Luna moth,Platanus,
Actias,luna,Luna moth,Rhus,
Parapoynx,maculalis,Polymorphic pondweed moth,Orontium,
