Fabaceae,Aeschynomene,virginica,h,1,
Asteraceae,Ageratina,aromatica,h,5,
Amaranthaceae ,Amaranthus,cannabinus,h,31,
Amaranthaceae ,Amaranthus,pumilus,h,31,
Asteraceae,Ambrosia,trifida,h,51,
Fabaceae,Amphicarpaea,bracteata,h,7,
Asteraceae,Anaphalis,margaritacea,h,4,
Asteraceae,Antennaria,howellii,h,1,
Fabaceae,Apios,americana,h,4,
Apocynaceae,Apocynum,cannabinum,h,14,
Araceae,Arisaema,dracontium,h,1,
Asteraceae,Arnoglossum,atriplicifolium,h,1,
Asclepiadaceae,Asclepias,amplexicaulis,h,12,
Asclepiadaceae,Asclepias,tuberosa,h,12,
Annonaceae,Asimina,triloba,w,12,
Asteraceae ,Bidens,cernua,h,14,
Asteraceae ,Bidens,trichosperma,h,14,
Berberidaceae,Caulophyllum,thalictroides,h,3,
Fabaceae,Centrosema,virginianum,h,4,
Caryophyllaceae ,Cerastium,nutans,h,5,
Fabaceae,Cercis,canadensis,w,22,
Apiaceae,Chaerophyllum,procumbens,h,1,
Cupressaceae,Chamaecyparis,thyoides,w,14,
Asteraceae ,Chrysopsis,mariana,h,3,
Apiaceae,Cicuta,maculata,h,6,
Santalaceae,Comandra,umbellata,h,4,
Myricaceae,Comptonia,peregrina,w,47,
Cornaceae,Cornus,racemosa,w,103,
Cornaceae,Cornus,florida,w,103,
Cornaceae,Cornus,alternifolia,w,103,
Fabaceae,Crotalaria,sagittalis,h,6,
Fabaceae,Desmodium,ochroleucum,h,17,
Asteraceae,Eclipta,prostrata,h,1,
Cyperaceae,Eleocharis,tricostata,h,3,
Apiaceae,Eryngium,aquaticum,h,3,
Fabaceae,Galactia,regularis,h,5,
Asteraceae,Helenium,autumnale,h,6,
Asteraceae,Heliopsis,helianthoides,h,1,
Fabaceae,Hylodesmum,nudiflorum,h,3,
Asteraceae,Iva,frutescens,h,2,
Cupressaceae,Juniperus,virginiana,w,26,
Acanthaceae,Justicia,americana,h,4,
Fabaceae,Lespedeza,hirta,h,20,
Fabaceae,Lespedeza,repens,h,20,
Asteraceae,Liatris,squarrosa,h,4,
Asteraceae,Mikania,scandens,h,2,
Asteraceae,Nabalus,serpentarius,h,3,
Asteraceae,Oclemena,nemoralis,h,1,
Araceae,Orontium,aquaticum,h,4,
Apiaceae,Osmorhiza,longistylis,h,1,
Asteraceae ,Packera,aurea,h,1,
Asteraceae ,Packera,paupercula,h,1,
Fabaceae,Phaseolus,polystachios,h,58,
Polemoniaceae,Phlox,pilosa,h,6,
Plantaginaceae ,Plantago,rugelii,h,52,
Orchidaceae ,Platanthera,ciliaris,h,1,
Platanaceae,Platanus,occidentalis,w,42,
Asteraceae,Pluchea,camphorata,h,3,
Berberidaceae,Podophyllum,peltatum,h,6,
Polemoniaceae,Polemonium,reptans,h,1,
Apiaceae,Ptilimnium,capillaceum,h,1,
Fagaceae,Quercus,stellata,w,463,
Anacardiaceae ,Rhus,glabra,w,54,
Anacardiaceae ,Rhus,typhina,w,54,
Asteraceae,Rudbeckia,laciniata,h,17,
Acanthaceae,Ruellia,caroliniensis,h,2,
Sarraceniaceae,Sarracenia,purpurea,h,4,
Cyperaceae,Scirpus,cyperinus,h,7,
Cyperaceae,Scleria,triglomerata,h,1,
Asteraceae,Sericocarpus,linifolius,h,1,
Caryophyllaceae ,Silene,caroliniana,h,5,
Asteraceae,Solidago,canadensis,h,106,
Asteraceae,Solidago,hispida,h,106,
Asteraceae,Solidago,ulmifolia,h,106,
Asteraceae,Solidago,latissimifolia,h,106,
Asteraceae,Solidago,tarda,h,106,
Asteraceae,Solidago,nemoralis,h,106,
Asteraceae,Solidago,flexicaulis,h,106,
Typhaceae,Sparganium,americanum,h,6,
Lemnaceae,Spirodela,polyrrhiza,h,2,
Fabaceae,Strophostyles,umbellata,h,4,
Fabaceae,Stylosanthes,biflora,h,2,
Asteraceae,Symphyotrichum,undulatum,h,90,
Asteraceae,Symphyotrichum,patens,h,90,
Asteraceae,Symphyotrichum,novae-angliae,h,90,
Araceae,Symplocarpus,foetidus,h,1,
Apiaceae,Taenidia,integerrima,h,1,
Cupressaceae   ,Taxodium,distichum,w,12,
Fabaceae,Tephrosia,spicata,h,4,
Fabaceae,Tephrosia,virginiana,h,4,
Anacardiaceae ,Toxicodendron,pubescens,w,17,
Anacardiaceae ,Toxicodendron,radicans,w,17,
Anacardiaceae ,Toxicodendron,vernix,w,17,
Pinaceae,Tsuga,canadensis,w,69,
Typhaceae,Typha,domingensis,h,16,
Asteraceae,Vernonia,noveboracensis,h,22,
Plantaginaceae,Veronica,americana,h,7,
Blechnaceae,Woodwardia,areolata,h,3,
Agavaceae,Yucca,filamentosa,h,6,
Apiaceae,Zizia,aptera,h,2,
,,,,,
